ID_Clube,Clube,ID_Liga
1,Arsenal,13
2,Aston Villa,13
3,Blackburn Rovers,14
4,Bolton,60
5,Chelsea,13
7,Everton,13
8,Leeds United,14
9,Liverpool,13
10,Manchester City,13
11,Manchester Utd,13
12,Middlesbrough,14
13,Newcastle Utd,13
14,Nott'm Forest,13
15,QPR,14
17,Southampton,14
18,Spurs,13
19,West Ham,13
21,FC Bayern München,19
22,Borussia Dortmund,19
23,M'gladbach,19
25,SC Freiburg,19
27,Hansa Rostock,20
28,Hamburger SV,20
29,Kaiserslautern,20
31,1. FC Köln,19
32,Leverkusen,19
33,1860 München,2076
34,FC Schalke 04,20
36,VfB Stuttgart,19
38,SV Werder Bremen,19
44,Inter,31
45,Juventus,31
47,Milan,31
50,Parma,32
54,Torino,31
55,Udinese,31
57,AJ Auxerre,17
58,SC Bastia,17
59,Bordeaux,17
60,Washington Spirit,2221
62,En Avant Guingamp,17
64,RC Lens,16
65,LOSC Lille,16
66,OL,16
68,FC Metz,16
69,AS Monaco,16
70,Montpellier,16
71,FC Nantes,16
72,OGC Nice,16
73,Paris SG,16
74,Stade Rennais FC,16
76,Strasbourg,16
77,Aberdeen,50
78,Celtic,50
80,Hearts,50
81,Hibernian,50
82,Kilmarnock,50
83,Motherwell,50
86,Rangers,50
88,Birmingham City,14
89,Charlton Ath,60
91,Derby County,60
92,Grimsby Town,61
94,Ipswich,14
95,Leicester City,14
97,Millwall,14
106,Sunderland,14
109,West Brom,14
110,Wolves,13
121,Crewe Alexandra,61
127,Shrewsbury,60
142,Doncaster,61
143,Exeter City,60
144,Fulham,13
149,Lincoln City,60
159,Arminia Bielefeld,2076
160,VfL Bochum,19
165,Fürth,20
166,Hertha Berlin,20
169,1. FSV Mainz 05,19
171,1. FC Nürnberg,20
172,Unterhaching,2076
175,VfL Wolfsburg,19
180,Dundee FC,50
189,Bologna,31
191,RB Salzburg,80
205,Venezia,32
206,Hellas Verona,31
209,SK Sturm Graz,80
210,SM Caen,17
211,Dinamo Zagreb,317
217,FC Lorient,16
219,OM,16
229,RSC Anderlecht,4
230,Royal Antwerp FC,4
231,Club Brugge,4
232,Standard Liège,4
234,SL Benfica,308
236,FC Porto,308
237,Sporting CP,308
240,Atlético de Madrid,53
241,FC Barcelona,53
243,Real Madrid,53
244,Real Zaragoza,54
245,Ajax,10
246,Feyenoord,10
247,PSV,10
252,LASK,80
254,SK Rapid Wien,80
256,FK Austria Wien,80
260,CD Tenerife,54
263,Hajduk Split,317
266,Slavia Praha,319
267,Sparta Praha,319
269,Brøndby IF,1
270,Silkeborg IF,1
271,AGF,1
272,Odense BK,1
278,AEK Athens,63
294,ESTAC Troyes,17
298,Rosenborg BK,41
299,Lillestrøm SK,41
300,Viking FK,41
301,Widzew Łódź,66
305,Bohemian FC,65
306,Shamrock Rovers,65
308,Univ. Craiova,330
310,FC Rapid 1923,330
319,IFK Göteborg,56
320,Malmö FF,56
321,Halmstads BK,56
322,Grasshopper Club,189
324,Servette FC,189
325,Galatasaray,68
326,Fenerbahçe,68
327,Beşiktaş,68
347,Lecce,31
357,Morecambe,61
361,Stevenage,60
378,Stade Brestois 29,16
379,Stade de Reims,16
381,Barrow,61
383,Palmeiras,1003
393,PAOK FC,63
417,Molde FK,41
418,Tromsø IL,41
420,Górnik Zabrze,66
422,Cork City,65
423,St. Pats,65
433,AIK,56
436,Trabzonspor,68
445,Derry City,65
448,Athletic Club,53
449,Real Betis,53
450,RC Celta,53
452,RCD Espanyol,54
453,RCD Mallorca,53
456,R. Racing Club,54
457,Real Sociedad,53
459,R. Sporting,54
461,Valencia CF,53
462,R. Valladolid CF,54
463,D. Alavés,53
467,SD Eibar,54
468,Elche CF,54
472,UD Las Palmas,53
479,CA Osasuna,53
480,Rayo Vallecano,53
481,Sevilla FC,53
483,Villarreal CF,53
485,Hannover 96,20
487,VfL Osnabrück,20
489,Farense,308
492,Wehen Wiesbaden,20
503,Dynamo Dresden,2076
506,FC Erzgebirge Aue,2076
517,Botafogo,1014
518,GD Chaves,308
523,Saarbrücken,2076
526,Rot-Weiss Essen,2076
531,Preußen Münster,2076
543,Jahn Regensburg,2076
561,Forest Green,61
563,Sligo Rovers,65
567,Fluminense,1003
570,Ternana,32
576,Holstein Kiel,20
580,SV Elversberg,20
598,São Paulo,1014
605,Al Hilal,350
607,Al Ittihad,350
614,AC Ajaccio,17
621,Livingston,50
631,Ross County,50
634,Fortuna Sittard,10
645,FC Volendam,10
670,Sp. Charleroi,4
673,KRC Genk,4
674,KAA Gent,4
680,STVV,4
681,KVC Westerlo,4
687,Columbus Crew,39
688,D.C. United,39
689,Red Bulls,39
691,New England,39
693,Chicago Fire FC,39
694,Colorado Rapids,39
695,FC Dallas,39
696,Sporting KC,39
697,LA Galaxy,39
698,Houston Dynamo,39
700,IF Elfsborg,56
702,IFK Norrköping,56
708,Hammarby IF,56
710,Djurgårdens IF,56
711,BK Häcken,56
718,Estrela Amadora,308
741,Antalyaspor,68
744,Rio Ave FC,308
746,İstanbulspor,68
748,Samsunspor,68
781,SC Austria,80
819,F.C. København,1
822,Vejle Boldklub,1
834,Shelbourne,65
837,Dundalk,65
873,Lech Poznań,66
874,Ruch Chorzów,66
894,FC Zürich,189
896,FC Basel 1893,189
897,FC Luzern,189
898,FC St. Gallen,189
900,BSC Young Boys,189
917,Stabæk Fotball,41
918,FK Bodø/Glimt,41
