ID,ID_Recurso,ID_Base_Recurso,ID_FutBin,ID_FutWiz,Primeiro_Nome,Sobrenome,Nome,Nome_Comun,Altura,Peso,Genero,Data_Nascimento,Idade,ID_Liga,ID_Nacionalidade,ID_Clube,Raridade,Estilo_Jogo,Estilo_Jogo_Plus,Posição,Posição_Alternativa,Movimento_Habilidade,Pé_Ruim,Pé_Bom,Taxa_Trabalho_Ataque,Taxa_Trabalho_Defesa,Estatistica_Total,Estatistica_Total_EmJogo,Cor,Overall,Classificação_Média,Velocidade,Chute,Passe,Drible,Defesa,Fisico,Atributo_Ritmo,Atributo_Chute,Atributo_Passe,Atributo_Drible,Atributo_Defesa,Atributo_Fisico,Atributo_de_Goleiro
19541,0,0,0,0,Lionel,Messi,Lionel Messi,None,169.0,67,male,1987-06-24,36,39,52,112893,5,None,None,CF,None,5,4.0,left,medium,low,499.0,2430.0,gold,97,83.0,91,96,97,98,40,77,0,0,0,0,0,0,0
19543,0,0,0,0,None,None,Caroline Graham Hansen,None,178.0,66,female,1995-02-18,28,2222,36,241,5,None,None,RW,None,5,4.0,right,high,medium,522.0,2495.0,gold,97,87.0,96,93,95,97,56,85,0,0,0,0,0,0,0
19544,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,5,None,None,ST,None,5,4.0,right,high,low,515.0,2465.0,gold,97,85.0,99,96,88,97,47,88,0,0,0,0,0,0,0
19546,0,0,0,0,Erling,Haaland,Erling Haaland,None,195.0,94,male,2000-07-21,23,13,36,10,5,None,None,ST,None,4,5.0,left,high,medium,518.0,2481.0,gold,97,86.0,96,98,80,91,56,97,0,0,0,0,0,0,0
19555,0,0,0,0,None,None,Aitana Bonmatí Conca,None,161.0,51,female,1998-01-18,26,2222,45,241,5,None,None,CM,None,4,5.0,right,high,high,534.0,2515.0,gold,97,89.0,90,91,91,98,83,81,0,0,0,0,0,0,0
19304,0,0,0,0,None,Pelé,Pelé,Pelé,173.0,70,male,1940-10-23,83,2118,54,112658,35,None,None,ST,None,5,4.0,right,high,medium,513.0,2497.0,gold,96,85.0,94,95,90,95,59,80,0,0,0,0,0,0,0
19540,0,0,0,0,Sam,Kerr,Sam Kerr,None,168.0,66,female,1993-09-10,30,2216,195,5,5,None,None,ST,None,4,5.0,right,high,high,506.0,2423.0,gold,96,84.0,92,94,84,96,48,92,0,0,0,0,0,0,0
19551,0,0,0,0,Jude,Bellingham,Jude Bellingham,None,186.0,75,male,2003-06-29,20,53,14,243,5,None,None,CM,None,4,4.0,right,high,high,545.0,2577.0,gold,96,90.0,90,88,90,96,90,91,0,0,0,0,0,0,0
19552,0,0,0,0,None,None,Alexia Putellas Segura,None,173.0,67,female,1994-02-04,30,2222,45,241,5,None,None,CM,None,5,5.0,left,high,medium,544.0,2644.0,gold,96,90.0,90,95,96,97,80,86,0,0,0,0,0,0,0
19553,0,0,0,0,None,None,Kevin De Bruyne,None,181.0,75,male,1991-06-28,32,13,7,10,5,None,None,CM,None,4,5.0,right,high,medium,532.0,2558.0,gold,96,88.0,85,93,98,92,80,84,0,0,0,0,0,0,0
