ID_Liga,Liga,ID_Nacionalidade,Genero
0,WC,0,None
1,3F Superliga,0,male
4,1A Pro League,0,male
10,Eredivisie,34,male
13,Premier League,14,male
14,EFL Championship,14,male
16,Ligue 1 Uber Eats,18,male
17,Ligue 2 BKT,18,male
19,Bundesliga,21,male
20,Bundesliga 2,21,male
31,Serie A TIM,27,male
32,Serie BKT,27,male
39,MLS,95,male
41,Eliteserien,0,male
50,cinch Prem,42,male
53,LALIGA EA SPORTS,45,male
54,LALIGA HYPERMOTION,45,male
56,Allsvenskan,46,male
60,EFL League One,14,male
61,EFL League Two,14,male
63,Hellas Liga,0,male
65,SSE Airtricity PD,0,male
66,PKO BP Ekstraklasa,0,male
68,Trendyol Süper Lig,0,male
80,Ö. Bundesliga,0,male
83,K League 1,0,male
189,CSSL,47,male
308,Liga Portugal,38,male
317,Liga Hrvatska,0,male
319,Česká Liga,12,male
322,Finnliiga,0,male
330,SUPERLIGA,0,male
332,Ukrayina Liha,0,male
347,South African FL (RSA 1),0,None
350,ROSHN Saudi League,0,male
351,A-League,0,male
353,LPF,0,male
1003,Libertadores,0,male
1014,Sudamericana,0,male
1990,World Cup,0,None
2012,CSL,0,male
2076,3. Liga,21,male
2118,Icons,0,None
2149,Hero ISL,0,male
2172,United Emirates League,0,male
2179,Calcio B (ITA 2),0,None
2208,National League (ENG 5),0,None
2209,Liga Dimayor II,0,None
2210,Liga Cyprus,0,male
2211,Magyar Liga,0,male
2215,GPFBL,21,female
2216,Barclays WSL,14,female
2218,D1 Arkema,18,female
2221,NWSL,95,female
2222,Liga F,45,female
2228,Liga Portugal Feminino,38,female
2229,Nederland Vrouwen Liga,34,female
2230,Ceska Liga Žen,12,female
2231,Schweizer Damen Liga,47,female
2232,Sverige Liga,46,female
2233,Scottish Women's League,42,female
2236,Calcio A Femminile,27,female
